id,network,station,latitude,longitude,gapsperday,peravailability,nlnm1,nlnmp25,nlnm8,nlnm22,nlnm110,meanp25,stdp25,mc100km,aggregate
630,US,BINY,42.1993,-75.9861,0.0555555555555556,99.8153606557377,25.6681010590109,26.7271722762724,21.9249964080041,26.1753283659259,37.4011858380006,-140.129983375802,5.34339919769787,2.03,87.7847355041203
631,US,BLA,37.2113,-80.42049,1.2922502334267,97.3303570776256,28.7706342749855,33.2825532594635,18.4337257993089,16.8397388325746,19.0506252357818,-133.574602392611,7.78483749723028,2.39,88.0613470288329
632,US,BRAL,31.1687,-87.0506,0.0355191256830601,99.9816220400728,47.960559678096,58.3880144669411,26.8658250627965,22.3243641935103,28.718476733528,-108.469141185133,4.96309764427439,3.1,80.3020051609725
633,US,CBKS,38.814,-99.7374,0.484517304189435,99.8937167577413,33.235186175015,37.8374946630423,19.6214179202162,20.2157204957491,29.1489790007063,-129.019660989032,5.64515406977799,2.42,86.553315081918
634,US,CBN,38.2046,-77.3732,0.0218579234972678,99.9845865209472,42.6412517669146,48.8242424392513,18.1120216698638,26.6702327449989,35.268251734201,-118.032913212823,5.48764954996739,2.79,82.4294303358893
635,US,CNNC,35.2393,-77.8901,0.0457875457875458,98.9093479052823,43.9844307227798,53.2749403443768,20.2823489117979,37.6470921213086,51.4146299095548,-113.582215307698,6.81915934209045,3.02,76.9372797469502
636,US,COWI,46.1003,-89.1369,0.0745098039215686,90.9746703296703,23.769718492546,36.2784581901674,18.2642787022367,21.7865306448936,31.4540289324905,-130.578697461907,5.66331807782803,2.37,87.8120496681311
637,US,ECSD,43.7337,-96.6141,0.0277777777777778,99.9166548269581,15.7526866476082,17.4252346640358,17.9890626458642,17.4858335029308,13.3540930611037,-149.431920988039,4.26642971486606,1.66,96.3592699736212
638,US,ERPA,42.1175,-79.9891,0.0236794171220401,99.9906912568306,34.0756310845216,42.4553394872876,19.9438828467751,23.0074630579835,35.0864087569362,-124.401816164787,3.44078653210525,2.46,85.2989420893425
639,US,EYMN,47.9462,-91.4953,0.0577100646352724,97.2763501821494,21.9333449581311,18.7491991461551,18.725197985697,18.2232213342007,19.0034540880595,-148.10795650592,3.62275728156743,1.67,93.4273281368589
640,US,GLMI,44.8245,-84.6175,0.0418994413407821,97.1217905282331,44.0959243669358,54.2565673430693,23.4469284989274,25.502237000565,32.546070344223,-112.600588309005,7.77091467387348,3.11,80.7955674182064
641,US,GOGA,33.4112,-83.4666,0.0136921624173749,96.9503090659341,21.7911404445549,22.5442437076972,16.0867051312528,16.595851467803,22.5318685104397,-144.312911944377,4.00897631652945,1.82,93.5788856821025
642,US,HDIL,40.5559,-89.294,0.0500910746812386,99.6691948998179,35.7972385847362,42.5935639946408,20.9213995795555,26.2856148138281,36.8974599100563,-124.263591657434,5.05216381930135,2.55,83.9660094757918
643,US,JCT,30.4794,-99.8022,0.0227686703096539,99.9986867030965,23.6099778659036,33.7324535825478,15.6862916752059,17.4733003637231,22.7367691801427,-133.124702069527,3.12561552488329,2.14,91.8968934370752
644,US,JFWS,42.9142,-90.2481,0.0282331511839709,99.9755418943534,27.6302778584756,32.6235432825187,19.3834828205323,18.699515953377,19.0835779431281,-134.233612369556,3.69203853227308,2.14,90.7807235633901
645,US,KSU1,39.1009,-96.6094,0.0237442922374429,99.3243756830601,30.6979716113099,39.4781897919194,19.3404687642073,23.9312264120783,32.9639104167014,-127.378965860155,5.38967664287855,2.46,86.5286439679309
646,US,KVTX,27.5459,-97.8929,0.0182149362477231,99.9999289617486,45.8536995261757,41.8207960233493,26.5476183620253,29.4451188861172,34.0662851279008,-125.036359628725,5.32032792411769,2.54,81.046992444053
647,US,LBNH,44.2401,-71.9259,0.235883424408015,99.8683506375228,25.8432512093768,24.9192462052397,22.4446010224316,23.128532408668,30.9148399167311,-141.937909446835,4.13423948620255,1.9,88.8875707099193
